tunizi;tunisian_arabic;english_translation;sentiment
Ahna l ma skhoun yemchi ken fi sif w ma bared ymchi ken fi chta; أحنا الماء السخون يمشي كان في الصيف و الماء البارد يمشي كان في الشتاء; For us, hot water is available only in summer, and cold water only in winter.;NEGATIVE
Klemo Shih; كلامه صحيح; What he's saying is ;POSITIVE
ye7ki fi 7aja mch fahemha; يحكي في حاجة ماهوش فاهمها; He’s talking about things he doesn’t understand;NEGATIVE
Mela jaw; مالا جو; What a fun!;POSITIVE
Yarhem oullidek fe klem hedha; يرحم والديك فالكلام هذا; Thank you for this talk;POSITIVE
Walhi 3andha snin tawa tfakartoha 7amdela a3likom rabi ytwalkom; والله عندنا سنين توا تفكرتوها الحمد لله عليكم ربي يتولاكم; It’s been years, and you remember it only today? May God take revenge on you.;NEGATIVE
Hedeya ken mchet chefet bledha w houmetha chne9sa 5ir ta3mel fe cha3beweya chleyek jboura; هاذيا كان مشات شافت بلادها و حومتها شني ناقصة خير تعمل في الشعبوية شلايك جبورة; If she saw what her country and hometown are missing, she’d do better than giving these empty speeches. What an idiot!;NEGATIVE
tkalmou mat5afouch tunes mta3 tuensa lkol mouch mta3 ouahed barka; تكلموا ما تخافوش تونس متاع التوانسة الكل موش متاع واحد بركة; Speak freely, Tunisia is for all, not for only one.;POSITIVE
warriiha ri3ayet attofoula filgharb taw ti7cham 3lae rou7ha; وريها رعاية الطفولة في الغرب تو تحشم على روحها; Show her the heath care in the west, and she will regret;NEGATIVE
Ken sket khir; كان سكت خير; You’d have been better off not saying anything;NEGATIVE
Yar7em wldik ama nchalah ysm3ouk we yfhmouk zeda mouch d5al mna e5raj mna klmek El kol es7i7; يرحم والديك أما إنشاء الله يسمعوك و يفهموك زادا موش دخل من هنا خرج من هنا كلامك الكل صحيح; Thank you and hopefully they understand you too, what you have said is all true;POSITIVE
Fdhiiiiii7a w chey y7acham; فضيحة و شيئ يحشم; What a shame!;NEGATIVE
Ili yjib akthar yatl3 mousal m3a dawla; اللي يجيب أكثر يطلع مسال مع الدولة; Those who take more end up owing more to the country;NEGATIVE
Elli Andou kasem taw yekthou we myfkhoulo had; اللي عندو قسم توا ياخذو و ما يفكهولو حد; What is meant for you will come to you;POSITIVE
Brabbi chkoun ykolli wa9tech thal el concours wa9tech sarou taracho7at; بربي شكون يقلي وقتاش تحل الكنكور و وقتاش صاروا الترشحات; Someone tells me please, when was the entrance exam held, and were the results announced;NEUTRAL
Kiyfache; كيفاش; how;NEUTRAL
ethika mziena; هاذيكا مزية; It's a favor;NEGATIVE
Ya maskha Tfouh Alik; يا مسخة تفوه عليك; You disgusting woman, I spit on you;NEUTRAL
Ti mala Raha menk; تي ملا راحة منك; We are better off without you;NEGATIVE
Wahdik maryouma; وحدك مريومة; You are the best Mariouma;POSITIVE
3andik inti 3otla sa3ida ahna mnin jetna issa3eda; عندك إنتي عطلة أحنا منين جاتنا السعادة; You have a happy holiday, not us;NEGATIVE
Tbarkalh 3likkkk; تبارك الله عليك; God bless you, you are amazing;POSITIVE
Meriouma mahlek w mahla kalbek; مريومة محلاك و محلا قلبك; How pretty and kind you are Mariouma;POSITIVE
9olli enty cht7eb; قلي أنتي شتحب; Tell me what you want;NEUTRAL
Rani rawaht edheka aaleh; راني روحت هذاكا علاه; I went back home, that's why;NEUTRAL
Ey ghadi dakhlo fi tabaa; أي غادي دخلوا في الطبعة; Yes there they went down hell;NEGATIVE
Ena hani 9aa3ed n7awel b chwaya b chwaya netnaadhem; أنا هاني قاعد نحاول بشويا بشويا نتنظم; I am trying step by step to become disciplined;POSITIVE
Sa77a chribteeek yaaatik 1000 sa77aa; صحة شريبتك يعطيك 1000 صحة; Hope you enjoyed your meal, and may God grant you health;POSITIVE
Testehel kol khyr; تستاهل كل خير; You deserve all the best;POSITIVE
Rabi me3ak ned3ilik; ربي معاك ندعيلك; I pray that god bess you;POSITIVE
Raabi ya3tik matetmanaa w iwaf9ekkk ya rabiii; ربي يعطيك ماتتمنى ويوفقك يا ربي; God grand you all your wishes;POSITIVE
Nty 9adeh mazelik; نتي قداه مازالك; How much is left for you?;NEUTRAL
Eyh sne ekher 3am sayee; أيه سنا آخر عام ساياي; This year is the last one, that's it!;NEUTRAL
y3ayichli khouya o nty zeda ya3tik kol khir; يعيشلي خويا و نتي زادة يعطيك كل خير; Thank you brother, I wish you all the best too.;POSITIVE
Le 3leh fhemtni bl ghalit rak; لا علاه فهمتني بالغالط راك; No why did you miss understood me?;NEGATIVE
Tebda andek ghosh men daakhel ma youfa ken mataamel haja tradhi rou7ek beeha rahou; تبدا عندك غش من الداخل ما يوفى كان ما تعمل حاجة ترضي روحك بيها راهو; You are having an inner anger that doesn't end until you do something about it;NEGATIVE
Mafihech hakeka ama itmah bech t9adem mouch bech t9ol chbini ltali; مافيهاش هكاكة أما إطمح باش تقدم موش باش تقول شبيني لتالي; Not like that, however, try to improve instead of blaming yourself for being behind;NEGATIVE
tloum rohek chbini lina rahy monafsa semha o t5alina n9admou; تلوم روحك شبيني لهنا راهي المنافسة سمحة و تخلينا نقدموا; You blame yourself for being here, competition is nice and make us improve;NEGATIVE
ena l 9asdi ino 5ayeb howa loman rohek; أنا قصدي أنو الخايب هوا لومان روحك; I mean, the wrong thing is blaming yourself.;NEGATIVE
A5yeb haja enik t9aren m3a la3bed; أخيب حاجة أنك تقارن مع العباد; The worst thing is comparing yourself to others;NEGATIVE
k t9aren rohek b la3bed ta93ed tarahom faytinik o tof9od thi9a f rohek;  كيف تقارن روحك بالعباد تقعد تراهم فايتينك و تفقد الثيقة في روحك; When you compare yourself to others, you see them way better than you, and you lose your self confidence;NEGATIVE
lafayda noslo ll nhebo 3lih ahna o mouch mohem wa9t o hal klem lazemny n9olo hata lrohy; الفايدة نوصلوا للي نحبوا عليه أحنا و موش مهم الوقت و هالكلام لازمني نقولو حتى لروحي; More importantly, we achieve our goals, and the time spent isn’t as important. I should remind myself of this too.;POSITIVE
taych msg; طيش ميساج; Send me a message;NEUTRAL
har9a el Italia; حرقة لإيطالية; Illegal migration to italy;NEUTRAL
Tal9aha ta3ref gnayet echemi elkol witghany wtebky belihsas; تلقاها تعرف غنايات الشامي الكل و تغني و تبكي بالإحساس; I bet she knows all Shami songs, and she sings them, crying from the feelings;NEGATIVE
Wallah chay yedaoekh; والله شيئ يدوخ; I swear, this is mind blowing;NEGATIVE
Eya okhrej mn youssef; آية أخرج من يوسف; We recognize you Eya, get out of Youssef;POSITIVE
Isalmek w isalamha; يسلمك و يسلمها; Bless you and bless her;POSITIVE
Salem aleha; سلم عليها; Say hi to her;POSITIVE
Ena sehra netfarej fl jazira; أنا ساهرة نتفرج في الجزيرة; I am staying late at night, watching Al-Jazira;NEUTRAL
Fl metnewel tekhdem talka maaroufa; في المتناول تخدم تلقى معروفة; The harder you work, the more you’ll get — everyone knows that.;POSITIVE
yekhi kifeh kont najem nraha normale; ياخي كيفاه كنت نجم نراها نرمال; I Wonder how I was able to see this as a normal thing;NEUTRAL
Bel 3in bel 3in; بالعين بالعين; One by one;NEUTRAL
Fih mayetachmech; فيه ما يتمشمش; It's worth something;NEUTRAL
chaddet b3adhha; شدت بعضها; It got worse;NEGATIVE
La ilaha ila lah; لا إله إلا الله; There is no god, but Allah;NEUTRAL
kolna kifkif jmeet prepa andna nafs dhmar; كلنا كيف كيف جماعة البريبا عندنا نفس الضمار; We are all like pre-engineering students, we have the same comedy skills;POSITIVE
aaa weldi Hani jey ena taw Wou bech nched Kal bako; يا ولدي هاني جاي أنا توا و باش نشد هاك الباكو; I am coming now, and I will get that Bako;NEUTRAL
Nhessek midou ather fik barcha; نحسك ميدو أثر فيك برشا; I think Midou influenced you;NEGATIVE
